fecha;pasos;diasemana;dia;mes;año;estacion;findesemana;semana
12/2/2021;12.231;viernes;12;febrero;2021;verano;no;7
13/2/2021;12.746;sabado;13;febrero;2021;verano;si;7
14/2/2021;5.870;domingo;14;febrero;2021;verano;si;7
15/2/2021;20.209;lunes;15;febrero;2021;verano;no;8
16/2/2021;10.759;martes;16;febrero;2021;verano;no;8
17/2/2021;6.638;miercoles;17;febrero;2021;verano;no;8
18/2/2021;5.517;jueves;18;febrero;2021;verano;no;8
19/2/2021;13.851;viernes;19;febrero;2021;verano;no;8
20/2/2021;13.130;sabado;20;febrero;2021;verano;si;8
21/2/2021;7.476;domingo;21;febrero;2021;verano;si;8
22/2/2021;11.414;lunes;22;febrero;2021;verano;no;9
23/2/2021;13.943;martes;23;febrero;2021;verano;no;9
24/2/2021;17.452;miercoles;24;febrero;2021;verano;no;9
25/2/2021;9.633;jueves;25;febrero;2021;verano;no;9
26/2/2021;10.036;viernes;26;febrero;2021;verano;no;9
27/2/2021;7.609;sabado;27;febrero;2021;verano;si;9
28/2/2021;15.399;domingo;28;febrero;2021;verano;si;9
1/3/2021;8.208;lunes;1;marzo;2021;verano;no;10
2/3/2021;5.060;martes;2;marzo;2021;verano;no;10
3/3/2021;7.231;miercoles;3;marzo;2021;verano;no;10
4/3/2021;5.542;jueves;4;marzo;2021;verano;no;10
5/3/2021;4.920;viernes;5;marzo;2021;verano;no;10
6/3/2021;9.995;sabado;6;marzo;2021;verano;si;10
7/3/2021;18.353;domingo;7;marzo;2021;verano;si;10
8/3/2021;6.074;lunes;8;marzo;2021;verano;no;11
9/3/2021;5.462;martes;9;marzo;2021;verano;no;11
10/3/2021;9.909;miercoles;10;marzo;2021;verano;no;11
11/3/2021;6.198;jueves;11;marzo;2021;verano;no;11
12/3/2021;17.828;viernes;12;marzo;2021;verano;no;11
13/3/2021;5.881;sabado;13;marzo;2021;verano;si;11
14/3/2021;22.570;domingo;14;marzo;2021;verano;si;11
15/3/2021;7.121;lunes;15;marzo;2021;verano;no;12
16/3/2021;10.032;martes;16;marzo;2021;verano;no;12
17/3/2021;4.953;miercoles;17;marzo;2021;verano;no;12
18/3/2021;5.437;jueves;18;marzo;2021;verano;no;12
19/3/2021;4.224;viernes;19;marzo;2021;verano;no;12
20/3/2021;10.195;sabado;20;marzo;2021;verano;si;12
21/3/2021;7.469;domingo;21;marzo;2021;otoño;si;12
22/3/2021;8.810;lunes;22;marzo;2021;otoño;no;13
