fecha	pasos	diasemana	numerosemana	dia	mes	año	estacion	cuarentena	findesemana
17/2/2019	755	domingo	7	17	febrero	2019	verano	no	si
18/2/2019	2.604	lunes	8	18	febrero	2019	verano	no	no
19/2/2019	2.765	martes	8	19	febrero	2019	verano	no	no
20/2/2019	2.821	miercoles	8	20	febrero	2019	verano	no	no
21/2/2019	9.363	jueves	8	21	febrero	2019	verano	no	no
22/2/2019	4.093	viernes	8	22	febrero	2019	verano	no	no
23/2/2019	2.878	sabado	8	23	febrero	2019	verano	no	si
24/2/2019	9.483	domingo	8	24	febrero	2019	verano	no	si
25/2/2019	2.323	lunes	9	25	febrero	2019	verano	no	no
26/2/2019	1.227	martes	9	26	febrero	2019	verano	no	no
27/2/2019	3.220	miercoles	9	27	febrero	2019	verano	no	no
28/2/2019	7.347	jueves	9	28	febrero	2019	verano	no	no
1/3/2019	6.498	viernes	9	1	marzo	2019	verano	no	no
2/3/2019	1.151	sabado	9	2	marzo	2019	verano	no	si
3/3/2019	4.067	domingo	9	3	marzo	2019	verano	no	si
4/3/2019	1.358	lunes	10	4	marzo	2019	verano	no	no
5/3/2019	7.717	martes	10	5	marzo	2019	verano	no	no
6/3/2019	3.488	miercoles	10	6	marzo	2019	verano	no	no
7/3/2019	3.549	jueves	10	7	marzo	2019	verano	no	no
8/3/2019	4.101	viernes	10	8	marzo	2019	verano	no	no
9/3/2019	813	sabado	10	9	marzo	2019	verano	no	si
10/3/2019	2.202	domingo	10	10	marzo	2019	verano	no	si
11/3/2019	4.355	lunes	11	11	marzo	2019	verano	no	no
12/3/2019	7.846	martes	11	12	marzo	2019	verano	no	no
13/3/2019	6.237	miercoles	11	13	marzo	2019	verano	no	no
14/3/2019	11.018	jueves	11	14	marzo	2019	verano	no	no
15/3/2019	8.674	viernes	11	15	marzo	2019	verano	no	no
16/3/2019	2.291	sabado	11	16	marzo	2019	verano	no	si
17/3/2019	486	domingo	11	17	marzo	2019	verano	no	si
18/3/2019	10.231	lunes	12	18	marzo	2019	verano	no	no
19/3/2019	8.484	martes	12	19	marzo	2019	verano	no	no
20/3/2019	13.164	miercoles	12	20	marzo	2019	verano	no	no
21/3/2019	12.129	jueves	12	21	marzo	2019	otoño	no	no
22/3/2019	8.550	viernes	12	22	marzo	2019	otoño	no	no
23/3/2019	663	sabado	12	23	marzo	2019	otoño	no	si
24/3/2019	358	domingo	12	24	marzo	2019	otoño	no	si
25/3/2019	7.436	lunes	13	25	marzo	2019	otoño	no	no
26/3/2019	4.932	martes	13	26	marzo	2019	otoño	no	no
27/3/2019	12.536	miercoles	13	27	marzo	2019	otoño	no	no
28/3/2019	6.466	jueves	13	28	marzo	2019	otoño	no	no
29/3/2019	9.017	viernes	13	29	marzo	2019	otoño	no	no
30/3/2019	7.560	sabado	13	30	marzo	2019	otoño	no	si
31/3/2019	1.329	domingo	13	31	marzo	2019	otoño	no	si
1/4/2019	7.735	lunes	14	1	abril	2019	otoño	no	no
2/4/2019	2.301	martes	14	2	abril	2019	otoño	no	no
3/4/2019	10.724	miercoles	14	3	abril	2019	otoño	no	no
4/4/2019	11.095	jueves	14	4	abril	2019	otoño	no	no
5/4/2019	8.881	viernes	14	5	abril	2019	otoño	no	no
6/4/2019	4.453	sabado	14	6	abril	2019	otoño	no	si
7/4/2019	1.838	domingo	14	7	abril	2019	otoño	no	si
8/4/2019	7.568	lunes	15	8	abril	2019	otoño	no	no
9/4/2019	7.406	martes	15	9	abril	2019	otoño	no	no
10/4/2019	10.165	miercoles	15	10	abril	2019	otoño	no	no
11/4/2019	7.294	jueves	15	11	abril	2019	otoño	no	no
12/4/2019	12.488	viernes	15	12	abril	2019	otoño	no	no
