dia ;mes;promedio pasos
lunes;enero;5.242,20
lunes;febrero;12.952,50
lunes;marzo;9.124,00
lunes;abril;5.481,00
lunes;mayo;3.171,20
lunes;junio;6.284,25
lunes;julio;7.024,50
lunes;agosto;4.503,40
lunes;septiembre;3.189,75
lunes;octubre;3.012,00
lunes;noviembre;2.943,40
lunes;diciembre;4.796,50
martes;enero;4.316,50
martes;febrero;12.832,33
martes;marzo;8.254,44
martes;abril;8.237,75
martes;mayo;3.325,75
martes;junio;11.932,60
martes;julio;6.833,50
martes;agosto;4.439,60
martes;septiembre;2.911,75
martes;octubre;6.303,00
martes;noviembre;3.732,40
martes;diciembre;5.616,00
miercoles;enero;8.063,00
miercoles;febrero;11.128,33
miercoles;marzo;10.091,56
miercoles;abril;6.237,50
miercoles;mayo;3.266,50
miercoles;junio;4.620,80
miercoles;julio;6.747,50
miercoles;agosto;3.451,50
miercoles;septiembre;4.951,00
miercoles;octubre;4.061,75
miercoles;noviembre;3.404,75
miercoles;diciembre;4.149,20
jueves;enero;6.071,50
jueves;febrero;8.567,17
jueves;marzo;10.579,50
jueves;abril;6.340,40
jueves;mayo;4.367,25
jueves;junio;5.290,25
jueves;julio;8.621,80
jueves;agosto;4.470,50
jueves;septiembre;3.319,00
jueves;octubre;3.025,50
jueves;noviembre;3.705,75
jueves;diciembre;5.641,20
viernes;enero;4.898,25
viernes;febrero;12.041,29
viernes;marzo;10.358,38
viernes;abril;8.407,60
viernes;mayo;5.109,00
viernes;junio;8.832,50
viernes;julio;10.606,40
viernes;agosto;5.851,75
viernes;septiembre;4.986,00
viernes;octubre;5.172,80
viernes;noviembre;6.766,25
viernes;diciembre;5.509,40
sabado;enero;5.958,80
sabado;febrero;10.724,71
sabado;marzo;7.441,63
sabado;abril;5.185,25
sabado;mayo;3.769,40
sabado;junio;4.402,50
sabado;julio;8.582,40
sabado;agosto;6.325,50
sabado;septiembre;3.956,50
sabado;octubre;3.861,20
sabado;noviembre;4.188,75
sabado;diciembre;5.095,75
domingo;enero;4.757,00
domingo;febrero;10.197,29
domingo;marzo;9.540,75
domingo;abril;10.839,50
domingo;mayo;3.804,60
domingo;junio;6.596,50
domingo;julio;5.248,00
domingo;agosto;7.159,00
domingo;septiembre;4.121,25
domingo;octubre;5.085,80
domingo;noviembre;5.013,25
domingo;diciembre;6.110,50
